Date	Time	d5 (mm)	d6 (mm)	d7 (mm)	S21 (m/m)	S22 (m/m)	S23 (m/m)	S24 (m/m)	S25 (m/m)	S26 (m/m)	S27 (m/m)	S28 (m/m)	S29 (m/m)	S30 (m/m)	S31 (m/m)	S32 (m/m)	S33 (m/m)	S34 (m/m)	S35 (m/m)	S36 (m/m)	S37 (m/m)	S38 (m/m)	S39 (m/m)	S40 (m/m)
30-05-2022	12:53:45.557	9.67378	18.27765	35.53938	2.396449E-07	8.054582E-07	-2.430982E-06	-8.69505E-07	3.075077E-06	4.219454E-06	-7.209016E-07	-1.046065E-05	-1.111158E-06	2.58179E-06	-2.603764E-06	3.020922E-07	1.835427E-02	3.902768E-06	5.596051E-07	-6.57557E-06	1.650721E-06	6.447408E-07	4.077072E-06	2.976496E-06
30-05-2022	12:53:45.561	9.65958	18.29519	35.52887	1.178481E-06	7.282254E-07	-1.668174E-06	-5.465364E-07	3.905159E-06	3.599346E-06	-4.082763E-07	-1.005237E-05	-5.675247E-08	3.430754E-06	-1.675017E-06	1.358505E-07	1.835427E-02	4.515558E-06	9.322601E-07	-5.516614E-06	1.517305E-06	8.415135E-07	4.248183E-06	2.579093E-06
30-05-2022	12:53:45.565	9.662299	18.29455	35.54903	1.293427E-06	1.106785E-06	-1.301529E-06	-9.059967E-08	3.463628E-06	3.715468E-06	-6.563854E-07	-1.013895E-05	4.430988E-07	3.105365E-06	-1.775369E-06	-2.55512E-07	1.835427E-02	5.009147E-06	9.555572E-07	-4.788206E-06	1.43856E-06	3.754324E-07	4.267979E-06	1.628338E-06
30-05-2022	12:53:45.569	9.651233	18.28359	35.53984	1.385244E-06	8.032447E-07	-1.617166E-06	-2.078545E-07	3.870018E-06	3.94266E-06	-8.641359E-07	-1.073515E-05	-6.230599E-07	2.974426E-06	-1.167539E-06	-2.955158E-07	1.835427E-02	3.787969E-06	6.019596E-07	-5.276311E-06	1.456713E-06	-1.074463E-07	4.053926E-06	1.712781E-06
30-05-2022	12:53:45.573	9.679185	18.27928	35.53508	5.734154E-07	5.5456E-07	-1.565443E-06	-5.819088E-07	3.644507E-06	3.55667E-06	-6.381509E-07	-1.090698E-05	-1.176285E-06	2.231494E-06	-2.021793E-06	6.099211E-08	1.835427E-02	3.555991E-06	8.011739E-07	-5.765091E-06	1.156783E-06	5.485443E-07	3.729362E-06	2.264918E-06
30-05-2022	12:53:45.577	9.671876	18.27484	35.53358	1.510489E-06	6.435698E-07	-1.771759E-06	-8.034756E-07	3.039651E-06	4.023955E-06	-5.882293E-07	-9.983135E-06	-1.348515E-06	2.493639E-06	-2.23537E-06	-5.301795E-07	1.835427E-02	3.530267E-06	3.381361E-07	-6.217148E-06	1.206711E-06	6.997793E-07	3.395812E-06	2.991409E-06
30-05-2022	12:53:45.581	9.661262	18.27815	35.54598	7.358372E-07	4.651952E-07	-1.631731E-06	-1.769177E-07	3.305904E-06	3.87996E-06	-1.03085E-06	-9.991981E-06	2.345097E-08	2.593347E-06	-6.833664E-07	8.174958E-07	1.835427E-02	3.574804E-06	9.658345E-07	-5.597226E-06	1.509422E-06	1.350705E-06	3.552616E-06	2.573139E-06
30-05-2022	12:53:45.585	9.662142	18.28461	35.52553	1.483946E-06	8.372922E-07	-1.7548E-06	1.441899E-07	3.459954E-06	3.654056E-06	-4.320771E-07	-9.48568E-06	3.835619E-07	2.828948E-06	-1.33313E-06	2.059656E-07	1.835427E-02	4.20062E-06	1.006258E-06	-4.870141E-06	1.278716E-06	1.406079E-07	3.609869E-06	1.573129E-06
30-05-2022	12:53:45.589	9.674299	18.27508	35.53951	1.95088E-06	8.661652E-07	-1.625841E-06	-1.163734E-07	2.973115E-06	3.808852E-06	-1.040727E-07	-1.02535E-05	-1.469813E-07	2.724203E-06	-1.816352E-06	-4.017308E-07	1.835427E-02	3.995207E-06	8.877228E-07	-5.305072E-06	1.190948E-06	9.726696E-08	3.814613E-06	2.495293E-06
30-05-2022	12:53:45.593	9.682222	18.28195	35.53775	1.361318E-06	3.008084E-07	-1.732986E-06	-8.857079E-07	2.977074E-06	3.443753E-06	-9.479213E-07	-1.053613E-05	-1.240852E-06	1.77087E-06	-2.679365E-06	-2.3409E-07	1.835427E-02	3.508607E-06	-1.02633E-08	-5.817083E-06	8.3574E-07	-1.20683E-07	3.746058E-06	2.456384E-06
